Player,Pick #,RPG,APG,SPG,BPG,PPG,SOS,TS%,FTr,Height,Weight,Age,All-NBA 
Derrick Coleman,1,12.1,2.9,1.5,2.0,17.9,8.85,.620,.747,82,230,23,1
Gary Payton,2,4.7,8.1,3.4,0.5,25.7,6.91,.572,.299,76,180,22,1
Mahmoud Abdul-Rauf,3,2.5,3.2,1.6,0.0,27.8,7.61,.584,.317,73,162,21,0
Dennis Scott,4,6.6,2.0,1.8,0.9,27.7,10.33,.593,.281,80,229,22,0
Kendall Gill,5,4.9,3.3,2.2,0.6,20.0,9.89,.575,.415,77,195,22,0
Felton Spencer,6,8.4,1.3,0.7,2.0,14.9,6.65,.700,.739,84,265,22,0
Lionel Simmons,7,11.1,3.6,1.9,2.0,26.5,-1.34,.559,.338,79,210,22,0
Bo Kimble,8,7.7,1.9,2.9,0.7,35.3,1.94,.635,.351,76,190,24,0
Willie Burton,9,6.4,1.8,1.2,0.8,19.3,8.93,.624,.462,80,210,22,0
Rumeal Robinson,10,3.0,6.1,1.4,0.5,19.2,10.27,.577,.451,74,195,24,0
Tyrone Hill,11,12.6,1.5,1.0,0.7,20.2,3.83,.603,.516,81,240,22,0
Alec Kessler,12,10.3,1.3,0.7,0.5,21.0,5.47,.578,.653,83,230,23,0
Loy Vaught,13,11.2,1.0,0.5,0.8,15.5,10.27,.629,.323,81,230,22,0
Travis Mays,14,5.1,2.3,1.8,0.5,24.1,5.73,.577,.439,74,190,22,0
Dave Jamerson,15,6.4,1.8,0.9,0.3,31.2,1.50,.598,.274,77,190,23,0
Terry Mills,16,8.0,2.2,1.2,0.9,18.1,10.27,.611,.286,82,230,23,0
Jerrod Mustaf,17,7.7,1.8,0.5,0.7,18.5,6.10,.581,.368,82,238,21,0
Duane Causwell,18,8.3,0.8,0.4,4.0,11.3,3.92,.513,.486,84,240,22,0
Dee Brown,19,6.6,5.2,3.0,0.6,19.3,-0.44,.546,.217,73,160,22,0
Gerald Glass,20,7.6,4.0,2.3,1.0,24.1,7.92,.556,.255,77,221,23,0
Larry Johnson,1,10.9,3.0,2.1,1.0,22.7,4.34,.711,.426,78,250,22,1
Kenny Anderson,2,5.7,5.6,3.0,0.1,25.9,10.80,.535,.294,72,168,21,0
Billy Owens,3,11.6,3.5,2.4,1.2,23.3,8.29,.560,.421,80,220,22,0
Dikembe Mutombo,4,12.2,1.6,0.6,4.7,15.2,14.31,.626,.721,86,245,25,1
Steve Smith,5,6.1,3.6,0.5,0.2,25.1,9.33,.574,.330,79,200,22,0
Doug Smith,6,10.4,3.2,2.1,1.4,23.6,9.53,.551,.344,82,220,22,0
